count,working_day,weekend_day,public_holiday,date
7.0,1,0,0,2016-10-11
106.0,1,0,0,2016-10-12
78.0,1,0,0,2016-10-13
134.0,1,0,0,2016-10-14
152.0,0,1,0,2016-10-15
94.0,0,1,0,2016-10-16
54.0,1,0,0,2016-10-17
55.0,1,0,0,2016-10-18
103.0,1,0,0,2016-10-19
59.0,1,0,0,2016-10-20
99.0,1,0,0,2016-10-21
158.0,0,1,0,2016-10-22
94.0,0,1,0,2016-10-23
54.0,1,0,0,2016-10-24
64.0,1,0,0,2016-10-25
102.0,1,0,0,2016-10-26
70.0,1,0,0,2016-10-27
117.0,1,0,0,2016-10-28
141.0,0,1,0,2016-10-29
88.0,0,1,0,2016-10-30
99.0,1,0,0,2016-10-31
78.0,0,0,1,2016-11-01
80.0,1,0,0,2016-11-02
71.0,1,0,0,2016-11-03
143.0,1,0,0,2016-11-04
154.0,0,1,0,2016-11-05
103.0,0,1,0,2016-11-06
44.0,1,0,0,2016-11-07
64.0,1,0,0,2016-11-08
105.0,1,0,0,2016-11-09
99.0,1,0,0,2016-11-10
109.0,0,0,1,2016-11-11
146.0,0,1,0,2016-11-12
103.0,0,1,0,2016-11-13
52.0,1,0,0,2016-11-14
59.0,1,0,0,2016-11-15
96.0,1,0,0,2016-11-16
53.0,1,0,0,2016-11-17
123.0,1,0,0,2016-11-18
162.0,0,1,0,2016-11-19
92.0,0,1,0,2016-11-20
73.0,1,0,0,2016-11-21
68.0,1,0,0,2016-11-22
95.0,1,0,0,2016-11-23
2.0,1,0,0,2016-11-24
0.0,1,0,0,2016-11-25
0.0,0,1,0,2016-11-26
0.0,0,1,0,2016-11-27
0.0,1,0,0,2016-11-28
0.0,1,0,0,2016-11-29
0.0,1,0,0,2016-11-30
79.0,1,0,0,2016-12-01
134.0,1,0,0,2016-12-02
161.0,0,1,0,2016-12-03
97.0,0,1,0,2016-12-04
78.0,1,0,0,2016-12-05
82.0,1,0,0,2016-12-06
108.0,1,0,0,2016-12-07
71.0,1,0,0,2016-12-08
151.0,1,0,0,2016-12-09
199.0,0,1,0,2016-12-10
122.0,0,1,0,2016-12-11
54.0,1,0,0,2016-12-12
82.0,1,0,0,2016-12-13
115.0,1,0,0,2016-12-14
81.0,1,0,0,2016-12-15
131.0,1,0,0,2016-12-16
189.0,0,1,0,2016-12-17
127.0,0,1,0,2016-12-18
69.0,1,0,0,2016-12-19
83.0,1,0,0,2016-12-20
